DATE,USEPUINDXD
2005-08-01,43.17000
2005-08-08,54.06000
2005-08-15,61.12000
2005-08-22,187.42000
2005-08-29,59.48000
2005-09-05,200.56000
2005-09-12,86.83000
2005-09-19,138.41000
2005-09-26,32.89000
2005-10-03,61.32000
2005-10-10,36.80000
2005-10-17,49.92000
2005-10-24,59.35000
2005-10-31,110.84000
2005-11-07,57.60000
2005-11-14,30.57000
2005-11-21,31.15000
2005-11-28,42.23000
2005-12-05,40.72000
2005-12-12,98.03000
2005-12-19,36.32000
2005-12-26,62.69000
2006-01-02,164.63000
2006-01-09,41.45000
2006-01-16,32.94000
2006-01-23,42.66000
2006-01-30,59.69000
2006-02-06,63.82000
2006-02-13,40.14000
2006-02-20,34.33000
2006-02-27,101.22000
2006-03-06,37.49000
2006-03-13,45.15000
2006-03-20,30.96000
2006-03-27,81.98000
2006-04-03,53.68000
2006-04-10,35.01000
2006-04-17,54.15000
2006-04-24,63.27000
2006-05-01,110.12000
2006-05-08,53.13000
2006-05-15,85.11000
2006-05-22,40.19000
2006-05-29,122.78000
2006-06-05,94.78000
2006-06-12,123.70000
2006-06-19,32.33000
2006-06-26,80.59000
2006-07-03,151.17000
2006-07-10,38.75000
2006-07-17,97.42000
2006-07-24,63.32000
2006-07-31,85.50000
2006-08-07,79.20000
2006-08-14,55.21000
2006-08-21,96.37000
2006-08-28,63.56000
2006-09-04,91.44000
2006-09-11,64.94000
2006-09-18,31.03000
2006-09-25,17.66000
2006-10-02,12.97000
2006-10-09,65.22000
2006-10-16,42.85000
2006-10-23,40.93000
2006-10-30,16.99000
2006-11-06,21.01000
2006-11-13,33.95000
2006-11-20,20.75000
2006-11-27,58.48000
2006-12-04,16.81000
2006-12-11,56.76000
2006-12-18,13.09000
2006-12-25,28.33000
2007-01-01,59.06000
2007-01-08,57.09000
2007-01-15,46.25000
2007-01-22,50.74000
2007-01-29,76.89000
2007-02-05,69.74000
2007-02-12,110.74000
2007-02-19,61.52000
2007-02-26,108.73000
2007-03-05,36.81000
2007-03-12,24.40000
2007-03-19,68.74000
2007-03-26,25.34000
2007-04-02,70.81000
